Accession,Length,Geo_Location
MT627409,29844,USA: CA
MT627410,29884,USA: CA
MT627411,29903,USA: CA
MT627412,29861,USA: CA
MT627413,29847,USA: CA
MT627414,29896,USA: CA
MT627415,29903,USA: CA
MT627416,29888,USA: CA
MT627417,29844,USA: CA
MT627418,29894,USA: CO
MT627419,29903,USA: CO
MT627420,29903,USA: HI
MT627421,29871,USA: HI
MT627422,29871,USA: IN
MT627423,29882,USA: NY
MT627424,29903,USA: NY
MT627425,29882,USA: NY
MT627426,29903,USA: NY
MT627427,29903,USA: NY
MT627428,29903,USA: NY
MT627429,29903,USA: NY
MT627430,29888,USA: NY
MT627431,29903,USA: NY
MT627432,29903,USA: NY
MT627433,29875,USA: NY
MT627434,29882,USA: NY
MT627435,29901,USA: NY
MT627436,29894,USA: OK
MT627437,29875,USA: WA
MT627606,29857,USA: Washington
MT627607,29859,"USA: Washington,King County"
MT627608,29858,USA: Washington
MT627609,29868,"USA: Washington,King County"
MT627610,29809,"USA: Washington,Snohomish County"
MT627611,29857,"USA: Washington,King County"
MT627612,29863,"USA: Washington,King County"
MT627613,29860,"USA: Washington,King County"
MT627614,29867,"USA: Washington,King County"
MT627615,29856,"USA: Washington,King County"
MT627616,29872,"USA: Washington,King County"
MT627617,29857,"USA: Washington,King County"
MT627618,29863,"USA: Washington,King County"
MT627619,29856,"USA: Washington,King County"
MT627620,29868,USA: Washington
MT627621,29868,"USA: Washington,King County"
MT627622,29860,USA: Washington
MT627623,29862,"USA: Washington,King County"
MT627624,29859,"USA: Washington,King County"
MT627625,29867,"USA: Washington,King County"
MT627626,29868,"USA: Washington,King County"
MT627627,29856,"USA: Washington,King County"
MT627628,29863,USA: Washington
MT627629,29856,"USA: Washington,King County"
MT627630,29851,"USA: Washington,King County"
MT627631,29859,USA: Washington
MT627632,29857,"USA: Washington,King County"
MT627633,29859,"USA: Washington,King County"
MT627634,29858,"USA: Washington,Pierce County"
MT627635,29857,"USA: Washington,Pierce County"
MT627636,29867,"USA: Washington,King County"
MT627637,29857,"USA: Washington,Snohomish County"
MT627638,29870,"USA: Washington,King County"
MT627745,29865,"USA: Washington,King County"
MT627746,29863,"USA: Washington,King County"
MT627747,29863,"USA: Washington,King County"
MT627748,29863,"USA: Washington,King County"
MT627749,29862,"USA: Washington,King County"
MT627750,29859,"USA: Washington,King County"
MT627751,29857,"USA: Washington,King County"
MT627752,29863,"USA: Washington,King County"
MT627753,29839,"USA: Washington,King County"
MT627754,29863,"USA: Washington,King County"
MT627755,29859,"USA: Washington,King County"
MT627756,29857,"USA: Washington,King County"
MT627757,29859,"USA: Washington,King County"
MT627758,29857,"USA: Washington,King County"
MT627759,29862,"USA: Washington,King County"
MT627760,29859,"USA: Washington,King County"
MT627761,29857,"USA: Washington,King County"
MT627762,29862,"USA: Washington,King County"
MT627763,29860,"USA: Washington,King County"
MT627764,29859,"USA: Washington,King County"
MT627765,29863,"USA: Washington,King County"
MT627766,29864,"USA: Washington,King County"
MT627767,29859,"USA: Washington,King County"
MT627920,29859,USA: Washington
MT627921,29859,USA: Washington
MT627922,29863,USA: Washington
MT627923,29862,USA: Washington
MT627924,29857,USA: Washington
MT627925,29857,USA: Washington
MT627926,29857,USA: Washington
MT627927,29859,USA: Washington
MT627928,29863,USA: Washington
MT627929,29857,USA: Washington
MT627930,29864,"USA: Washington,King County"
MT627931,29868,"USA: Washington,King County"
MT627932,29868,"USA: Washington,Snohomish County"
MT628037,29848,"USA: Washington,King County"
MT628038,29868,"USA: Washington,Pierce County"
MT628039,29868,"USA: Washington,Pierce County"
MT628040,29867,"USA: Washington,Yakima County"
MT628041,29863,"USA: Washington,Yakima County"
MT628042,29869,"USA: Washington,Asotin County"
MT628043,29863,"USA: Washington,Pierce County"
MT628044,29850,USA: Washington
MT628045,29864,"USA: Washington,Yakima County"
MT628046,29867,"USA: Washington,Pierce County"
MT628047,29867,"USA: Washington,Yakima County"
MT628048,29859,"USA: Washington,Pierce County"
MT628049,29867,"USA: Washington,Snohomish County"
MT628050,29867,"USA: Washington,Pierce County"
MT628051,29859,"USA: Washington,Yakima County"
MT628052,29868,"USA: Washington,Pierce County"
MT628053,29863,"USA: Washington,Yakima County"
MT628054,29868,"USA: Washington,Yakima County"
MT628055,29867,"USA: Washington,Snohomish County"
MT628056,29859,"USA: Washington,Snohomish County"
MT628057,29864,"USA: Washington,King County"
MT628058,29869,"USA: Washington,Yakima County"
MT628059,29859,"USA: Washington,Yakima County"
MT628060,29859,"USA: Washington,Snohomish County"
MT628061,29857,"USA: Washington,Yakima County"
MT628062,29858,"USA: Washington,Yakima County"
MT628063,29859,"USA: Washington,Yakima County"
MT628064,29858,"USA: Washington,Yakima County"
MT628065,29857,"USA: Washington,Yakima County"
MT628066,29858,"USA: Washington,Yakima County"
MT628067,29863,"USA: Washington,Pierce County"
MT628068,29857,"USA: Washington,Yakima County"
MT628069,29857,"USA: Washington,Yakima County"
MT628070,29859,USA: Washington
MT628071,29863,"USA: Washington,King County"
MT628072,29857,"USA: Washington,King County"
MT628073,29869,"USA: Washington,Yakima County"
MT628074,29872,"USA: Washington,Snohomish County"
MT628075,29860,"USA: Washington,Pierce County"
MT628076,29857,"USA: Washington,Yakima County"
MT628077,29864,"USA: Washington,Pierce County"
MT628078,29867,"USA: Washington,Yakima County"
MT628079,29863,"USA: Washington,Yakima County"
MT628080,29860,"USA: Washington,Yakima County"
MT628081,29872,"USA: Washington,Yakima County"
MT628082,29868,"USA: Washington,Yakima County"
MT628083,29813,USA: CA
MT628084,29813,USA: CA
MT628085,29850,USA: CA
MT628086,29812,USA: CA
MT628087,29814,USA: CA
MT628088,29811,USA: CA
MT628089,29648,USA: CA
MT628090,29866,USA: CA
MT628091,29864,USA: CA
MT628092,29848,USA: CA
MT628093,29828,USA: CA
MT628094,29798,USA: CA
MT628095,29813,USA: CA
MT628096,29796,USA: CA
MT628097,29813,USA: CA
MT628098,29847,USA: CA
MT628099,29798,USA: CA
MT628100,29805,USA: CA
MT628101,29802,USA: CA
MT628102,29796,USA: CA
MT628103,29802,USA: CA
MT628104,29817,USA: CA
MT628105,29849,USA: CA
MT628106,29798,USA: CA
MT628107,29843,USA: CA
MT628108,29813,USA: CA
MT628109,29803,USA: CA
MT628110,29809,USA: CA
MT628111,29833,USA: CA
MT628112,29798,USA: CA
MT628113,29843,USA: CA
MT628114,29798,USA: CA
MT628115,29800,USA: CA
MT628116,29804,USA: CA
MT628117,29798,USA: CA
MT628118,29813,USA: CA
MT628119,29848,USA: CA
MT628120,29806,USA: CA
MT628121,29815,USA: CA
MT628122,29798,USA: CA
MT628123,29847,USA: CA
MT628124,29852,USA: CA
MT628125,29866,USA: CA
MT628126,29839,USA: CA
MT628127,29866,USA: CA
MT628128,29849,USA: CA
MT628129,29805,USA: CA
MT628130,29798,USA: CA
MT628131,29846,USA: CA
MT628132,29850,USA: CA
MT628133,29815,USA: CA
MT628134,29813,USA: CA
MT628135,29841,USA: CA
MT628136,29862,USA: CA
MT628137,29866,USA: CA
MT628138,29850,USA: CA
MT628139,29863,USA: CA
MT628140,29832,USA: CA
MT628141,29855,USA: CA
MT628142,29849,USA: CA
MT628143,29813,USA: CA
MT628144,29806,USA: CA
MT628145,29863,USA: CA
MT628146,29860,USA: CA
MT628147,29862,USA: CA
MT628148,29815,USA: CA
MT628149,29802,USA: CA
MT628150,29846,USA: CA
MT628151,29798,USA: CA
MT628152,29812,USA: CA
MT628153,29846,USA: CA
MT628154,29852,USA: CA
MT628155,29856,USA: CA
MT628156,29866,USA: CA
MT628157,29862,USA: CA
MT628158,29848,USA: CA
MT628159,29798,USA: CA
MT628160,29813,USA: CA
MT628161,29813,USA: CA
MT628162,29797,USA: CA
MT628163,29847,USA: CA
MT628164,29864,USA: CA
MT628165,29798,USA: CA
MT628166,29863,USA: CA
MT628167,29828,USA: CA
MT628168,29805,USA: CA
MT628169,29856,USA: CA
MT628170,29815,USA: CA
MT628171,29805,USA: CA
MT628172,29810,USA: CA
MT628173,29813,USA: CA
MT628174,29856,USA: CA
MT628175,29812,USA: CA
MT628176,29852,USA: CA
MT628177,29835,USA: CA
MT628178,29853,USA: CA
MT628179,29808,USA: CA
MT628180,29808,USA: CA
MT628181,29823,USA: CA
MT628182,29827,USA: CA
MT628183,29798,USA: CA
MT628184,29864,USA: CA
MT628185,29799,USA: CA
MT628186,29866,USA: CA
MT628187,29812,USA: CA
MT628188,29797,USA: CA
MT628189,29807,USA: CA
MT628190,29862,USA: CA
MT628191,29866,USA: CA
MT628192,29844,USA: CA
MT628193,29835,USA: CA
MT628194,29842,USA: CA
MT628195,29813,USA: CA
MT628196,29866,USA: CA
MT628197,29864,USA: CA
MT628198,29857,USA: CA
MT628199,29847,USA: CA
MT628200,29855,USA: CA
MT628201,29862,USA: CA
MT628202,29866,USA: CA
MT628203,29782,USA: CA
MT628204,29853,USA: CA
MT628205,29857,USA: CA
MT628206,29857,USA: CA
MT628207,29801,USA: CA
MT628208,29862,USA: CA
MT628209,29845,USA: CA
MT628210,29847,USA: CA
MT628211,29862,USA: CA
MT628212,29824,USA: CA
MT628213,29824,USA: CA
MT628214,29860,USA: CA
MT628215,29865,USA: CA
MT628216,29856,USA: CA
MT628217,29858,USA: CA
MT628218,29815,USA: CA
MT628219,29812,USA: CA
MT628220,29849,USA: CA
MT628221,29813,USA: CA
MT628222,29865,USA: CA
MT628223,29864,USA: CA
MT628224,29841,USA: CA
MT628225,29803,USA: CA
MT628226,29855,USA: CA
MT628227,29815,USA: CA
MT628228,29843,USA: CA
MT628229,29825,USA: CA
MT628230,29855,USA: CA
MT628231,29833,USA: CA
MT628232,29836,USA: CA
MT628233,29803,USA: CA
MT628234,29848,USA: CA
MT628235,29841,USA: CA
MT628236,29844,USA: CA
MT628237,29813,USA: CA
MT628238,29815,USA: CA
MT628239,29798,USA: CA
MT628240,29847,USA: CA
MT628241,29816,USA: CA
MT628242,29815,USA: CA
MT628243,29849,USA: CA
MT628244,29862,USA: CA
MT628245,29858,USA: CA
MT628246,29833,USA: CA
MT628247,29824,USA: CA
MT628248,29854,USA: CA
MT628249,29871,USA: CA
MT628250,29855,USA: CA
MT628251,29816,USA: CA
MT628252,29836,USA: CA
MT628253,29848,USA: CA
MT628254,29842,USA: CA
MT628255,29818,USA: CA
MT628256,29860,USA: CA
MT628257,29844,USA: CA
MT628258,29865,USA: CA
MT628259,29813,USA: CA
MT628260,29887,USA: CA
MT628261,29840,USA: CA
MT628262,29900,USA: CA
MT628263,29805,USA: CA
MT628264,29791,USA: CA
MT628265,29859,USA: CA
MT628266,29813,USA: CA
MT628267,29851,USA: CA
MT628268,29841,USA: CA
MT628269,29864,USA: CA
MT628270,29813,USA: CA
MT628271,29830,USA: CA
MT628272,29837,USA: CA
MT628273,29752,USA: CA
MT628274,29823,USA: CA
MT628275,29818,USA: CA
MT628276,29851,USA: CA
MT628277,29832,USA: CA
MT628278,29798,USA: CA
MT628279,29819,USA: CA
MT628280,29839,USA: CA
MT628281,29765,USA: CA
MT630421,29879,Saudi Arabia: Jeddah
MT630422,29879,Saudi Arabia: Jeddah
MT630423,29814,Saudi Arabia: Jeddah
MT630424,29814,Saudi Arabia: Jeddah
MT630425,29879,Saudi Arabia: Jeddah
MT630426,29814,Saudi Arabia: Jeddah
MT630427,29879,Saudi Arabia: Jeddah
MT630428,29879,Saudi Arabia: Jeddah
MT630429,29879,Saudi Arabia: Jeddah
MT630430,29814,Saudi Arabia: Jeddah
MT630431,29814,Saudi Arabia: Jeddah
MT630432,29814,Saudi Arabia: Jeddah
MT631784,29836,USA: CA
MT631785,29810,USA: CA
MT631786,29815,USA: CA
MT631787,29865,USA: CA
MT631788,29802,USA: CA
MT631789,29814,USA: CA
MT631790,29851,USA: CA
MT631791,29827,USA: CA
MT631792,29813,USA: CA
MT631793,29864,USA: CA
MT631794,29850,USA: CA
MT631795,29813,USA: CA
MT631796,29826,USA: CA
MT631797,29841,USA: CA
MT631798,29798,USA: CA
MT631799,29814,USA: CA
MT631800,29813,USA: CA
MT631801,29801,USA: CA
MT631802,29840,USA: CA
MT631803,29851,USA: CA
MT631804,29789,USA: CA
MT631805,29803,USA: CA
MT631806,29805,USA: CA
MT631807,29849,USA: CA
MT631808,29815,USA: CA
MT631809,29854,USA: CA
MT631810,29816,USA: CA
MT631811,29816,USA: CA
MT631812,29798,USA: CA
MT631813,29849,USA: CA
MT631814,29835,USA: CA
MT631815,29805,USA: CA
MT631816,29849,USA: CA
MT631817,29840,USA: CA
MT631818,29851,USA: CA
MT631819,29849,USA: CA
MT631820,29862,USA: CA
MT631821,29834,USA: CA
MT631822,29823,USA: CA
MT631823,29851,USA: CA
MT631824,29813,USA: CA
MT631825,29864,USA: CA
MT631826,29831,USA: CA
MT631827,29849,USA: CA
MT631828,29848,USA: CA
MT631829,29836,USA: CA
MT631830,29850,USA: CA
MT631831,29848,USA: CA
MT631832,29832,USA: CA
MT631833,29853,USA: CA
MT631834,29829,USA: CA
MT631835,29826,USA: CA
MT631836,29721,USA: CA
MT631837,29860,USA: CA
MT631838,29815,USA: CA
MT631839,29846,USA: CA
MT631840,29821,USA: CA
MT631841,29849,USA: CA
MT631842,29854,USA: CA
MT631843,29798,USA: CA
MT631844,29801,USA: CA
MT631845,29819,USA: CA
MT632491,29839,"USA: Washington,King County"
MT632492,29760,"USA: Washington,Whatcom County"
MT632493,29872,"USA: Washington,Whatcom County"
MT632494,29846,"USA: Washington,Snohomish County"
MT632495,29868,"USA: Washington,Snohomish County"
MT632496,29852,"USA: Washington,King County"
MT632497,29868,"USA: Washington,Whatcom County"
MT632498,29868,"USA: Washington,Whatcom County"
MT632499,29869,"USA: Washington,Whatcom County"
MT632500,29868,"USA: Washington,King County"
MT632501,29868,"USA: Washington,Snohomish County"
MT632502,29871,"USA: Washington,Clark County"
MT632503,29868,"USA: Washington,Whatcom County"
MT632504,29868,"USA: Washington,Whatcom County"
MT632505,29871,"USA: Washington,Whatcom County"
MT632506,29855,"USA: Washington,Snohomish County"
MT632507,29871,"USA: Washington,Whatcom County"
MT632508,29871,"USA: Washington,Whatcom County"
MT632509,29869,USA: Washington
MT632510,29868,"USA: Washington,Whatcom County"
MT632511,29870,"USA: Washington,Whatcom County"
MT632512,29868,"USA: Washington,Whatcom County"
MT632513,29868,"USA: Washington,Whatcom County"
MT632514,29863,"USA: Washington,King County"
MT632515,29859,"USA: Washington,King County"
MT632516,29868,"USA: Washington,Whatcom County"
MT632517,29868,"USA: Washington,Whatcom County"
MT632518,29857,"USA: Washington,King County"
MT632519,29868,"USA: Washington,Whatcom County"
MT632520,29868,"USA: Washington,Whatcom County"
MT632521,29864,"USA: Washington,Whatcom County"
MT632522,29870,"USA: Washington,Whatcom County"
MT632523,29869,"USA: Washington,Whatcom County"
MT632524,29856,USA: Washington
MT632525,29851,"USA: Washington,Whatcom County"
MT632526,29857,USA: Washington
MT632527,29868,"USA: Washington,Whatcom County"
MT632528,29868,"USA: Washington,Whatcom County"
MT632529,29868,"USA: Washington,Whatcom County"
MT632530,29842,USA: Washington
MT632531,29851,"USA: Washington,King County"
MT632532,29868,"USA: Washington,Whatcom County"
MT632533,29868,"USA: Washington,Whatcom County"
MT632534,29860,USA: Washington
MT632535,29868,"USA: Washington,King County"
MT632536,29868,"USA: Washington,Whatcom County"
MT632537,29849,USA: Washington
MT632538,29861,"USA: Washington,Grant County"
MT632539,29869,"USA: Washington,King County"
MT632540,29858,"USA: Washington,Whatcom County"
MT632541,29868,"USA: Washington,King County"
MT632542,29839,"USA: Washington,King County"
MT632543,29862,"USA: Washington,King County"
MT632544,29859,"USA: Washington,King County"
MT632545,29856,"USA: Washington,King County"
MT632546,29861,"USA: Washington,King County"
MT632547,29869,"USA: Washington,King County"
MT632548,29857,"USA: Washington,King County"
MT632549,29851,USA: Washington
MT632550,29871,USA: Washington
MT632551,29857,"USA: Washington,King County"
MT632552,29870,"USA: Washington,King County"
MT632553,29859,"USA: Washington,Whatcom County"
MT632554,29871,USA: Washington
MT632555,29867,"USA: Washington,King County"
MT632556,29869,"USA: Washington,King County"
MT632557,29858,"USA: Washington,King County"
MT632558,29864,"USA: Washington,Snohomish County"
MT632559,29862,"USA: Washington,King County"
MT632560,29856,"USA: Washington,King County"
MT632561,29868,"USA: Washington,King County"
MT632562,29867,"USA: Washington,Snohomish County"
MT632563,29869,"USA: Washington,King County"
MT632564,29862,"USA: Washington,King County"
MT632565,29852,USA: Washington
MT632566,29833,"USA: Washington,King County"
MT632567,29870,"USA: Washington,King County"
MT632568,29833,"USA: Washington,Snohomish County"
MT632569,29869,"USA: Washington,King County"
MT632570,29863,"USA: Washington,Skagit County"
MT632571,29861,USA: Washington
MT632572,29859,"USA: Washington,King County"
MT632573,29859,"USA: Washington,King County"
MT632574,29868,"USA: Washington,King County"
MT632575,29862,"USA: Washington,Clark County"
MT632576,29855,"USA: Washington,King County"
MT632577,29869,"USA: Washington,King County"
MT632578,29867,"USA: Washington,King County"
MT632579,29863,"USA: Washington,King County"
MT632580,29869,"USA: Washington,King County"
MT632581,29878,"USA: Washington,King County"
MT632582,29856,"USA: Washington,King County"
MT632583,29868,"USA: Washington,Yakima County"
MT632584,29868,"USA: Washington,King County"
MT632585,29858,"USA: Washington,King County"
MT632586,29857,"USA: Washington,Snohomish County"
MT632587,29849,"USA: Washington,King County"
MT632588,29863,"USA: Washington,King County"
MT632589,29859,"USA: Washington,Yakima County"
MT632590,29848,"USA: Washington,Whatcom County"
MT632591,29858,"USA: Washington,King County"
MT632592,29857,"USA: Washington,King County"
MT632593,29857,"USA: Washington,Snohomish County"
MT632594,29858,"USA: Washington,King County"
MT632595,29857,"USA: Washington,King County"
MT632596,29857,"USA: Washington,King County"
MT632597,29868,"USA: Washington,King County"
MT632598,29857,"USA: Washington,King County"
MT632599,29859,USA: Washington
MT632600,29868,"USA: Washington,King County"
MT632601,29859,"USA: Washington,Pierce County"
MT632602,29869,"USA: Washington,King County"
MT632603,29868,"USA: Washington,King County"
MT632604,29859,USA: Washington
MT632605,29868,USA: Washington
MT632606,29855,"USA: Washington,Snohomish County"
MT632607,29854,"USA: Washington,King County"
MT632608,29869,"USA: Washington,King County"
MT632609,29856,"USA: Washington,King County"
MT632610,29854,"USA: Washington,King County"
MT632611,29856,"USA: Washington,King County"
MT632612,29857,"USA: Washington,King County"
MT632613,29859,"USA: Washington,King County"
MT632614,29860,"USA: Washington,King County"
MT632615,29836,"USA: Washington,King County"
MT632616,29857,"USA: Washington,King County"
MT632617,29858,"USA: Washington,King County"
MT632618,29862,"USA: Washington,King County"
MT632619,29855,"USA: Washington,King County"
MT632620,29859,USA: Washington
MT632621,29867,"USA: Washington,King County"
MT632622,29868,"USA: Washington,Snohomish County"
MT632623,29868,"USA: Washington,King County"
MT632624,29873,"USA: Washington,King County"
MT632625,29856,"USA: Washington,King County"
MT632626,29868,"USA: Washington,King County"
MT632627,29857,"USA: Washington,King County"
MT632628,29857,"USA: Washington,King County"
MT632629,29875,"USA: Washington,King County"
MT632630,29866,"USA: Washington,King County"
MT632631,29858,"USA: Washington,King County"
MT632632,29856,"USA: Washington,King County"
MT632633,29817,"USA: Washington,King County"
MT632766,29877,"USA: Washington,Pierce County"
MT632767,29823,"USA: Washington,King County"
MT632768,29848,"USA: Washington,Yakima County"
